model_version,event_group,window_days,horizon,n_days,n_event_name_days,mean_excess_spread_pct,median_excess_spread_pct,pct_of_days_positive,hit_rate_pct,overlap_adjusted_t,effective_independent_n,min_detectable_spread_pct,survivorship_biased,generated_at,p_value,family_size,survives_bh_fdr,n_nominally_significant,expected_false_positives_at_alpha
v0.5_expanded_universe,earnings,90,10,507,715188,-0.2554592472054615,-0.19099010030538147,42.209072978303745,48.89241570871805,-1.739150162432485,50.7,0.41128472263421356,True,2026-09-11T17:59:04.541070+00:00,0.08819937922715765,105,False,3,5.25
v0.5_expanded_universe,material,5,10,541,122165,0.008865318540561534,-0.012007839800456596,49.53789279112754,48.91564874571361,0.10309413567172,54.1,0.24077889350190765,True,2026-09-11T17:59:05.015475+00:00,0.9182766316141858,105,False,3,5.25
v0.5_expanded_universe,material,30,10,524,467629,-0.07023612723400639,-0.019126867649168308,47.900763358778626,48.95619495750855,-0.7921870529872652,52.4,0.24825090931949287,True,2026-09-11T17:59:05.475013+00:00,0.43189268073101994,105,False,3,5.25
v0.5_expanded_universe,material,90,10,499,731680,0.0113629773240972,0.03674148324217842,50.70140280561122,49.0993241131936,0.0721995476948307,49.9,0.4406722413546384,True,2026-09-11T17:59:05.967465+00:00,0.9427376070104021,105,False,3,5.25
v0.5_expanded_universe,officer_change,5,10,543,29391,-0.008047858141887668,-0.08915321259213745,47.32965009208103,48.868586278487186,-0.04766431428636448,54.3,0.47276464866152207,True,2026-09-11T17:59:06.503556+00:00,0.9621619279367315,105,False,3,5.25
v0.5_expanded_universe,officer_change,30,10,543,144972,-0.05109918665392942,-0.09766610006231033,45.11970534069982,48.80134437909574,-0.6449145392696944,54.3,0.22185532178112247,True,2026-09-11T17:59:07.016385+00:00,0.5217488872356922,105,False,3,5.25
v0.5_expanded_universe,officer_change,90,10,543,352524,-0.0463779806936285,-0.08299123141718873,42.9097605893186,48.940549569782696,-0.6666746930328825,54.3,0.19478517378753232,True,2026-09-11T17:59:07.518294+00:00,0.50785568849982,105,False,3,5.25
v0.5_expanded_universe,redflag,5,10,48,167,0.5359824151569031,0.7122465762007826,62.5,50.069444444444436,0.32755302877926534,4.8,4.581703207057413,True,2026-09-11T17:59:07.917096+00:00,,105,False,3,5.25
v0.5_expanded_universe,redflag,30,10,472,2644,-0.12567756179489487,-0.14090383268002524,47.03389830508475,48.6241424535916,-0.2608549000364076,47.2,1.3490150002035277,True,2026-09-11T17:59:08.372930+00:00,0.7953636703536945,105,False,3,5.25
v0.5_expanded_universe,redflag,90,10,543,8128,-0.23550226191114432,-0.2372309088547618,45.11970534069982,47.74887416246053,-0.7352462972748015,54.3,0.8968509406919842,True,2026-09-11T17:59:08.846984+00:00,0.4654125418212941,105,False,3,5.25
